student_name,gender,grade,school_name,type,reading_score,math_score
Kevin Logan,M,9th,Stewart High School,Charter,93,98
Earl Bush,M,10th,Stewart High School,Charter,99,92
Jeffrey Williamson,M,10th,Stewart High School,Charter,98,98
Karen Dean,F,10th,Stewart High School,Charter,97,77
Rebecca Reyes,F,11th,Stewart High School,Charter,89,87
Alison Padilla,F,12th,Stewart High School,Charter,97,86
Crystal Hamilton,F,11th,Stewart High School,Charter,93,94
Antonio Finley,M,9th,Stewart High School,Charter,89,96
Kevin Morris,M,10th,Stewart High School,Charter,92,83
Charles Gonzalez,M,9th,Stewart High School,Charter,97,83
Tyler Newman,M,12th,Stewart High School,Charter,91,91
Jennifer Harrison,F,12th,Stewart High School,Charter,97,83
Jeffrey Ochoa,M,9th,Stewart High School,Charter,97,90
Kristina Fitzpatrick,F,10th,Stewart High School,Charter,95,80
John Gutierrez,M,10th,Stewart High School,Charter,93,89
Kevin Garcia,M,9th,Stewart High School,Charter,90,76
Tracy Garcia,F,12th,Stewart High School,Charter,97,88
Sarah Michael,F,11th,Stewart High School,Charter,93,74
Megan Shepherd,F,12th,Stewart High School,Charter,95,92
Steven Chambers,M,11th,Stewart High School,Charter,97,97
Elizabeth Saunders,F,10th,Stewart High School,Charter,95,68
James Sexton,M,12th,Stewart High School,Charter,95,76
Tammy Hawkins,F,12th,Stewart High School,Charter,90,90
Angela Castro,F,10th,Stewart High School,Charter,99,97
Julie Garza,F,9th,Stewart High School,Charter,93,91
James Malone,M,9th,Stewart High School,Charter,90,72
Brittany Smith,F,9th,Stewart High School,Charter,90,80
Virginia Ramsey,F,9th,Stewart High School,Charter,94,90
Eric Spencer,M,10th,Stewart High School,Charter,89,75
Alec Deleon,M,9th,Stewart High School,Charter,91,91
Pamela Carter,F,9th,Stewart High School,Charter,99,68
Eric Hill,M,12th,Stewart High School,Charter,94,80
Jonathan Logan,M,10th,Stewart High School,Charter,93,81
Keith Gibson,M,9th,Stewart High School,Charter,98,90
Sean Hartman,M,9th,Stewart High School,Charter,97,97
Karen Juarez,F,11th,Stewart High School,Charter,90,69
Daniel Wilson,M,11th,Stewart High School,Charter,94,74
Gregory Pope,M,12th,Stewart High School,Charter,97,77
