,Student ID,student_name,gender,grade,school_name,reading_score,math_score,School ID,type,size,budget
0,0,Kevin Logan,M,9th,Stewart High School,93,98,0,Charter,1208,740504
1,1,Earl Bush,M,10th,Stewart High School,99,92,0,Charter,1208,740504
2,2,Jeffrey Williamson,M,10th,Stewart High School,98,98,0,Charter,1208,740504
3,3,Karen Dean,F,10th,Stewart High School,97,77,0,Charter,1208,740504
4,4,Rebecca Reyes,F,11th,Stewart High School,89,87,0,Charter,1208,740504
5,5,Alison Padilla,F,12th,Stewart High School,97,86,0,Charter,1208,740504
6,6,Crystal Hamilton,F,11th,Stewart High School,93,94,0,Charter,1208,740504
7,7,Antonio Finley,M,9th,Stewart High School,89,96,0,Charter,1208,740504
8,8,Kevin Morris,M,10th,Stewart High School,92,83,0,Charter,1208,740504
9,9,Charles Gonzalez,M,9th,Stewart High School,97,83,0,Charter,1208,740504
10,10,Tyler Newman,M,12th,Stewart High School,91,91,0,Charter,1208,740504
11,11,Jennifer Harrison,F,12th,Stewart High School,97,83,0,Charter,1208,740504
12,12,Jeffrey Ochoa,M,9th,Stewart High School,97,90,0,Charter,1208,740504
13,13,Kristina Fitzpatrick,F,10th,Stewart High School,95,80,0,Charter,1208,740504
14,14,John Gutierrez,M,10th,Stewart High School,93,89,0,Charter,1208,740504
15,15,Kevin Garcia,M,9th,Stewart High School,90,76,0,Charter,1208,740504
16,16,Tracy Garcia,F,12th,Stewart High School,97,88,0,Charter,1208,740504
17,17,Sarah Michael,F,11th,Stewart High School,93,74,0,Charter,1208,740504
18,18,Megan Shepherd,F,12th,Stewart High School,95,92,0,Charter,1208,740504
19,19,Steven Chambers,M,11th,Stewart High School,97,97,0,Charter,1208,740504
20,20,Elizabeth Saunders,F,10th,Stewart High School,95,68,0,Charter,1208,740504
21,21,James Sexton,M,12th,Stewart High School,95,76,0,Charter,1208,740504
22,22,Tammy Hawkins,F,12th,Stewart High School,90,90,0,Charter,1208,740504
23,23,Angela Castro,F,10th,Stewart High School,99,97,0,Charter,1208,740504
24,24,Julie Garza,F,9th,Stewart High School,93,91,0,Charter,1208,740504
25,25,James Malone,M,9th,Stewart High School,90,72,0,Charter,1208,740504
26,26,Brittany Smith,F,9th,Stewart High School,90,80,0,Charter,1208,740504
27,27,Virginia Ramsey,F,9th,Stewart High School,94,90,0,Charter,1208,740504
28,28,Eric Spencer,M,10th,Stewart High School,89,75,0,Charter,1208,740504
29,29,Alec Deleon,M,9th,Stewart High School,91,91,0,Charter,1208,740504
30,30,Pamela Carter,F,9th,Stewart High School,99,68,0,Charter,1208,740504
31,31,Eric Hill,M,12th,Stewart High School,94,80,0,Charter,1208,740504
32,32,Jonathan Logan,M,10th,Stewart High School,93,81,0,Charter,1208,740504
33,33,Keith Gibson,M,9th,Stewart High School,98,90,0,Charter,1208,740504
34,34,Sean Hartman,M,9th,Stewart High School,97,97,0,Charter,1208,740504
35,35,Karen Juarez,F,11th,Stewart High School,90,69,0,Charter,1208,740504
36,36,Daniel Wilson,M,11th,Stewart High School,94,74,0,Charter,1208,740504
37,37,Gregory Pope,M,12th,Stewart High School,97,77,0,Charter,1208,740504
38,38,Brooke Flores,F,10th,Stewart High School,98,71,0,Charter,1208,740504
39,39,Angela Rodriguez DVM,F,12th,Stewart High School,96,87,0,Charter,1208,740504
40,40,Wendy Henderson,F,10th,Stewart High School,90,82,0,Charter,1208,740504
41,41,Steven Mcmahon,M,9th,Stewart High School,90,76,0,Charter,1208,740504
42,42,Desiree Hanson,F,10th,Stewart High School,95,89,0,Charter,1208,740504
43,43,Daniel Perez,M,12th,Stewart High School,99,87,0,Charter,1208,740504
44,44,Terry Pierce,M,10th,Stewart High School,99,68,0,Charter,1208,740504
45,45,Cynthia Merritt,F,12th,Stewart High School,97,88,0,Charter,1208,740504
46,46,Isaac Benson,M,10th,Stewart High School,99,89,0,Charter,1208,740504
47,47,Bryan White,M,9th,Stewart High School,91,81,0,Charter,1208,740504
48,48,Christian Moody,M,10th,Stewart High School,96,91,0,Charter,1208,740504
49,49,Kurt Warren,M,9th,Stewart High School,95,98,0,Charter,1208,740504
50,50,Stacey Dean,F,9th,Stewart High School,99,84,0,Charter,1208,740504
51,51,Christina Perry,F,12th,Stewart High School,99,83,0,Charter,1208,740504
52,52,Zachary Macdonald,M,12th,Stewart High School,96,75,0,Charter,1208,740504
53,53,Seth Reyes,M,11th,Stewart High School,96,91,0,Charter,1208,740504
54,54,Angela Ruiz MD,F,10th,Stewart High School,97,79,0,Charter,1208,740504
55,55,Pamela Baker,F,9th,Stewart High School,95,85,0,Charter,1208,740504
56,56,Kevin Espinoza,M,11th,Stewart High School,97,95,0,Charter,1208,740504
57,57,Deanna Moore,F,12th,Stewart High School,97,83,0,Charter,1208,740504
58,58,Randy Williams,M,9th,Stewart High School,90,89,0,Charter,1208,740504
59,59,Krista Mcguire,F,10th,Stewart High School,94,91,0,Charter,1208,740504
60,60,Roger Wilson,M,9th,Stewart High School,93,81,0,Charter,1208,740504
61,61,Marvin Howell,M,11th,Stewart High School,90,73,0,Charter,1208,740504
62,62,Susan Fisher,F,11th,Stewart High School,97,82,0,Charter,1208,740504
63,63,Paul Johnson,M,12th,Stewart High School,99,90,0,Charter,1208,740504
64,64,Christopher Howard,M,9th,Stewart High School,96,73,0,Charter,1208,740504
65,65,Keith Newman,M,12th,Stewart High School,96,79,0,Charter,1208,740504
66,66,Christopher Stevens,M,10th,Stewart High School,90,75,0,Charter,1208,740504
67,67,Brian Murray,M,10th,Stewart High School,95,77,0,Charter,1208,740504
68,68,Jeffrey Beck,M,11th,Stewart High School,94,98,0,Charter,1208,740504
69,69,Mariah Hughes,F,9th,Stewart High School,91,93,0,Charter,1208,740504
70,70,Christine Hoover,F,12th,Stewart High School,89,85,0,Charter,1208,740504
71,71,Thomas Hodges,M,12th,Stewart High School,99,94,0,Charter,1208,740504
72,72,Derek Dillon,M,11th,Stewart High School,97,68,0,Charter,1208,740504
73,73,Cheyenne Murphy,F,9th,Stewart High School,98,68,0,Charter,1208,740504
74,74,Mrs. Heather Schwartz,F,10th,Stewart High School,95,87,0,Charter,1208,740504
75,75,Timothy Wagner,M,12th,Stewart High School,98,80,0,Charter,1208,740504
76,76,David Jackson,M,9th,Stewart High School,95,91,0,Charter,1208,740504
77,77,Matthew Gonzales,M,9th,Stewart High School,90,93,0,Charter,1208,740504
78,78,Samantha Hall,F,12th,Stewart High School,97,85,0,Charter,1208,740504
79,79,Christopher Robinson,M,9th,Stewart High School,95,87,0,Charter,1208,740504
80,80,Stacie Reynolds,F,11th,Stewart High School,92,74,0,Charter,1208,740504
81,81,Robert Martinez,M,9th,Stewart High School,98,70,0,Charter,1208,740504
82,82,Kathryn Esparza,F,11th,Stewart High School,89,81,0,Charter,1208,740504
83,83,Lindsay Barnett,F,11th,Stewart High School,99,92,0,Charter,1208,740504
84,84,Christie Rivers,F,10th,Stewart High School,98,70,0,Charter,1208,740504
85,85,Jennifer Cruz,F,10th,Stewart High School,92,85,0,Charter,1208,740504
86,86,Megan Dawson,F,9th,Stewart High School,90,87,0,Charter,1208,740504
87,87,Christopher Allen,M,11th,Stewart High School,89,78,0,Charter,1208,740504
88,88,Stephanie Mueller,F,12th,Stewart High School,96,81,0,Charter,1208,740504
89,89,Christine Bailey,F,12th,Stewart High School,93,84,0,Charter,1208,740504
90,90,Samantha Alvarez,F,9th,Stewart High School,96,91,0,Charter,1208,740504
91,91,Alicia White,F,10th,Stewart High School,95,79,0,Charter,1208,740504
92,92,Jean Gibson,F,10th,Stewart High School,93,69,0,Charter,1208,740504
93,93,Linda Cooper,F,11th,Stewart High School,89,81,0,Charter,1208,740504
94,94,Peter Taylor,M,10th,Stewart High School,96,93,0,Charter,1208,740504
95,95,Robert Cervantes,M,9th,Stewart High School,95,99,0,Charter,1208,740504
96,96,Steven Hendrix,M,11th,Stewart High School,90,74,0,Charter,1208,740504
97,97,John Mercado,M,11th,Stewart High School,91,78,0,Charter,1208,740504
98,98,Aaron Zamora MD,M,12th,Stewart High School,96,83,0,Charter,1208,740504
99,99,Michael Gordon,M,11th,Stewart High School,95,77,0,Charter,1208,740504
100,100,James Quinn,M,11th,Stewart High School,91,71,0,Charter,1208,740504
101,101,Crystal Hamilton,F,11th,Stewart High School,94,75,0,Charter,1208,740504
102,102,Jennifer Ramirez,F,12th,Stewart High School,97,99,0,Charter,1208,740504
103,103,Pamela Miller,F,11th,Stewart High School,95,89,0,Charter,1208,740504
104,104,Ricky Smith,M,11th,Stewart High School,99,86,0,Charter,1208,740504
105,105,Mark Castillo,M,10th,Stewart High School,89,75,0,Charter,1208,740504
106,106,Cassandra Graham,F,9th,Stewart High School,90,84,0,Charter,1208,740504
107,107,Julie Baker,F,9th,Stewart High School,97,81,0,Charter,1208,740504
108,108,Nicole Webster,F,9th,Stewart High School,96,89,0,Charter,1208,740504
109,109,Jessica Carter,F,10th,Stewart High School,95,74,0,Charter,1208,740504
110,110,Rick Cannon,M,11th,Stewart High School,97,68,0,Charter,1208,740504
111,111,Stephanie Lopez,F,9th,Stewart High School,91,93,0,Charter,1208,740504
112,112,Jay White,M,11th,Stewart High School,90,97,0,Charter,1208,740504
113,113,Susan Osborne,F,12th,Stewart High School,96,74,0,Charter,1208,740504
114,114,Jasmine Campos,F,12th,Stewart High School,98,72,0,Charter,1208,740504
115,115,Sarah Le,F,9th,Stewart High School,99,90,0,Charter,1208,740504
116,116,Leslie Costa,F,10th,Stewart High School,92,90,0,Charter,1208,740504
117,117,John Walker,M,12th,Stewart High School,93,88,0,Charter,1208,740504
118,118,Lisa Simpson,F,9th,Stewart High School,94,91,0,Charter,1208,740504
119,119,Karen Lane,F,11th,Stewart High School,89,87,0,Charter,1208,740504
120,120,Chris Beck,M,12th,Stewart High School,90,79,0,Charter,1208,740504
121,121,Jorge Mcintosh,M,10th,Stewart High School,99,87,0,Charter,1208,740504
122,122,Ashley Thompson,F,11th,Stewart High School,99,76,0,Charter,1208,740504
123,123,Kenneth Watkins,M,9th,Stewart High School,94,95,0,Charter,1208,740504
124,124,Travis Porter,M,11th,Stewart High School,97,95,0,Charter,1208,740504
125,125,Lisa Duncan,F,9th,Stewart High School,90,89,0,Charter,1208,740504
126,126,William Mitchell,M,10th,Stewart High School,97,85,0,Charter,1208,740504
127,127,Joshua Edwards,M,10th,Stewart High School,97,73,0,Charter,1208,740504
128,128,Aaron Mills,M,9th,Stewart High School,89,86,0,Charter,1208,740504
129,129,Daniel Parker,M,10th,Stewart High School,96,86,0,Charter,1208,740504
130,130,Kimberly Gaines,F,11th,Stewart High School,93,71,0,Charter,1208,740504
131,131,Lucas Smith,M,9th,Stewart High School,90,76,0,Charter,1208,740504
132,132,Christopher Powell,M,12th,Stewart High School,90,99,0,Charter,1208,740504
133,133,Alejandra Williams,F,10th,Stewart High School,89,98,0,Charter,1208,740504
134,134,Steven Washington,M,10th,Stewart High School,91,95,0,Charter,1208,740504
135,135,Jeffrey Gonzalez,M,12th,Stewart High School,93,99,0,Charter,1208,740504
136,136,Melanie Lester,F,10th,Stewart High School,94,83,0,Charter,1208,740504
137,137,Colin Moore,M,11th,Stewart High School,96,75,0,Charter,1208,740504
138,138,Rebecca Hobbs,F,9th,Stewart High School,98,81,0,Charter,1208,740504
139,139,Tamara Hampton,F,10th,Stewart High School,96,96,0,Charter,1208,740504
140,140,Linda Mann,F,11th,Stewart High School,91,87,0,Charter,1208,740504
141,141,Kevin Peterson,M,10th,Stewart High School,99,94,0,Charter,1208,740504
142,142,Christopher Greene,M,10th,Stewart High School,96,76,0,Charter,1208,740504
143,143,Michael Butler,M,10th,Stewart High School,91,95,0,Charter,1208,740504
144,144,Peter Perez,M,10th,Stewart High School,90,78,0,Charter,1208,740504
145,145,Matthew Cruz,M,11th,Stewart High School,98,72,0,Charter,1208,740504
146,146,Richard Hall,M,9th,Stewart High School,98,84,0,Charter,1208,740504
147,147,Timothy Valencia,M,12th,Stewart High School,95,68,0,Charter,1208,740504
148,148,Nicole Wright,F,12th,Stewart High School,94,97,0,Charter,1208,740504
149,149,Melissa Eaton,F,9th,Stewart High School,98,96,0,Charter,1208,740504
150,150,Joseph Carlson,M,11th,Stewart High School,91,80,0,Charter,1208,740504
151,151,Rebecca Burgess,F,11th,Stewart High School,91,91,0,Charter,1208,740504
152,152,Margaret Mcbride,F,12th,Stewart High School,93,88,0,Charter,1208,740504
153,153,Juan Sullivan,M,11th,Stewart High School,93,88,0,Charter,1208,740504
154,154,Lauren Jacobson,F,12th,Stewart High School,91,84,0,Charter,1208,740504
155,155,Mark Bryan,M,9th,Stewart High School,98,87,0,Charter,1208,740504
156,156,Michael Zhang,M,11th,Stewart High School,95,78,0,Charter,1208,740504
157,157,Darlene Robertson,F,11th,Stewart High School,95,98,0,Charter,1208,740504
158,158,James Carlson,M,12th,Stewart High School,93,85,0,Charter,1208,740504
159,159,Rhonda Perry,F,11th,Stewart High School,92,99,0,Charter,1208,740504
160,160,Joanna Reed,F,10th,Stewart High School,95,71,0,Charter,1208,740504
161,161,Thomas Williams,M,10th,Stewart High School,91,91,0,Charter,1208,740504
162,162,Donald Rodriguez,M,9th,Stewart High School,96,85,0,Charter,1208,740504
163,163,Jeremy Griffin,M,9th,Stewart High School,92,72,0,Charter,1208,740504
164,164,Kathleen Miller,F,12th,Stewart High School,99,70,0,Charter,1208,740504
165,165,William Walker,M,10th,Stewart High School,99,71,0,Charter,1208,740504
166,166,Brent Hernandez,M,12th,Stewart High School,93,81,0,Charter,1208,740504
167,167,Jake Chen,M,12th,Stewart High School,90,90,0,Charter,1208,740504
168,168,Miss Amy Willis,F,10th,Stewart High School,95,80,0,Charter,1208,740504
169,169,Tammy Garza,F,9th,Stewart High School,97,93,0,Charter,1208,740504
170,170,Michael Rodriguez,M,10th,Stewart High School,92,81,0,Charter,1208,740504
171,171,Carlos Stephenson,M,12th,Stewart High School,89,81,0,Charter,1208,740504
172,172,Judith Navarro,F,12th,Stewart High School,94,73,0,Charter,1208,740504
173,173,Seth Miller,M,10th,Stewart High School,97,73,0,Charter,1208,740504
174,174,Anthony Ramirez,M,9th,Stewart High School,99,95,0,Charter,1208,740504
175,175,April Spencer,F,11th,Stewart High School,90,93,0,Charter,1208,740504
176,176,Mario Gilbert,M,10th,Stewart High School,97,96,0,Charter,1208,740504
177,177,Paula Jones,F,11th,Stewart High School,97,94,0,Charter,1208,740504
178,178,Amy Crawford,F,11th,Stewart High School,95,73,0,Charter,1208,740504
179,179,Kevin King,M,9th,Stewart High School,89,80,0,Charter,1208,740504
180,180,Scott Osborne,M,9th,Stewart High School,92,89,0,Charter,1208,740504
181,181,Alison Carr,F,10th,Stewart High School,95,78,0,Charter,1208,740504
182,182,Patrick Lin,M,10th,Stewart High School,89,98,0,Charter,1208,740504
183,183,Nicholas Kelly,M,12th,Stewart High School,92,77,0,Charter,1208,740504
184,184,Mindy Daniels,F,12th,Stewart High School,91,70,0,Charter,1208,740504
185,185,Michelle Hall,F,10th,Stewart High School,91,72,0,Charter,1208,740504
186,186,Samantha Garner,F,9th,Stewart High School,90,89,0,Charter,1208,740504
